"liga","fecha","mercado","casa","local","visitante","seleccion","cuota","timestamp"
"La Liga - Spain","2025-08-25T17:30:00Z","h2h","Winamax (FR)","Athletic Bilbao","Rayo Vallecano","Athletic Bilbao","2,1","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T17:30:00Z","h2h","Winamax (FR)","Athletic Bilbao","Rayo Vallecano","Rayo Vallecano","5,4","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T17:30:00Z","h2h","Winamax (FR)","Athletic Bilbao","Rayo Vallecano","Draw","2,35","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T17:30:00Z","h2h","Winamax (DE)","Athletic Bilbao","Rayo Vallecano","Athletic Bilbao","2,1","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T17:30:00Z","h2h","Winamax (DE)","Athletic Bilbao","Rayo Vallecano","Rayo Vallecano","5,4","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T17:30:00Z","h2h","Winamax (DE)","Athletic Bilbao","Rayo Vallecano","Draw","2,35","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T17:30:00Z","h2h","Tipico","Athletic Bilbao","Rayo Vallecano","Athletic Bilbao","2,1","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T17:30:00Z","h2h","Tipico","Athletic Bilbao","Rayo Vallecano","Rayo Vallecano","5,5","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T17:30:00Z","h2h","Tipico","Athletic Bilbao","Rayo Vallecano","Draw","2,4","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T17:30:00Z","h2h","Nordic Bet","Athletic Bilbao","Rayo Vallecano","Athletic Bilbao","2,05","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T17:30:00Z","h2h","Nordic Bet","Athletic Bilbao","Rayo Vallecano","Rayo Vallecano","5,35","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T17:30:00Z","h2h","Nordic Bet","Athletic Bilbao","Rayo Vallecano","Draw","2,4","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T17:30:00Z","h2h","Betsson","Athletic Bilbao","Rayo Vallecano","Athletic Bilbao","2,05","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T17:30:00Z","h2h","Betsson","Athletic Bilbao","Rayo Vallecano","Rayo Vallecano","5,8","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T17:30:00Z","h2h","Betsson","Athletic Bilbao","Rayo Vallecano","Draw","2,35","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T17:30:00Z","h2h","Unibet (IT)","Athletic Bilbao","Rayo Vallecano","Athletic Bilbao","2,1","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T17:30:00Z","h2h","Unibet (IT)","Athletic Bilbao","Rayo Vallecano","Rayo Vallecano","5,6","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T17:30:00Z","h2h","Unibet (IT)","Athletic Bilbao","Rayo Vallecano","Draw","2,43","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T17:30:00Z","h2h","Unibet (NL)","Athletic Bilbao","Rayo Vallecano","Athletic Bilbao","2,1","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T17:30:00Z","h2h","Unibet (NL)","Athletic Bilbao","Rayo Vallecano","Rayo Vallecano","5,6","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T17:30:00Z","h2h","Unibet (NL)","Athletic Bilbao","Rayo Vallecano","Draw","2,43","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T17:30:00Z","h2h","Betfair","Athletic Bilbao","Rayo Vallecano","Athletic Bilbao","2,2","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T17:30:00Z","h2h","Betfair","Athletic Bilbao","Rayo Vallecano","Rayo Vallecano","5,8","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T17:30:00Z","h2h","Betfair","Athletic Bilbao","Rayo Vallecano","Draw","2,64","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T17:30:00Z","h2h","Pinnacle","Athletic Bilbao","Rayo Vallecano","Athletic Bilbao","2,12","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T17:30:00Z","h2h","Pinnacle","Athletic Bilbao","Rayo Vallecano","Rayo Vallecano","5,24","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T17:30:00Z","h2h","Pinnacle","Athletic Bilbao","Rayo Vallecano","Draw","2,51","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T17:30:00Z","h2h","Coolbet","Athletic Bilbao","Rayo Vallecano","Athletic Bilbao","2,1","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T17:30:00Z","h2h","Coolbet","Athletic Bilbao","Rayo Vallecano","Rayo Vallecano","5,5","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T17:30:00Z","h2h","Coolbet","Athletic Bilbao","Rayo Vallecano","Draw","2,5","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T17:30:00Z","h2h","Matchbook","Athletic Bilbao","Rayo Vallecano","Athletic Bilbao","2,22","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T17:30:00Z","h2h","Matchbook","Athletic Bilbao","Rayo Vallecano","Rayo Vallecano","5,6","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T17:30:00Z","h2h","Matchbook","Athletic Bilbao","Rayo Vallecano","Draw","2,6","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T17:30:00Z","h2h","Betclic (FR)","Athletic Bilbao","Rayo Vallecano","Athletic Bilbao","2,03","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T17:30:00Z","h2h","Betclic (FR)","Athletic Bilbao","Rayo Vallecano","Rayo Vallecano","5,1","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T17:30:00Z","h2h","Betclic (FR)","Athletic Bilbao","Rayo Vallecano","Draw","2,42","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T19:30:00Z","h2h","1xBet","Sevilla","Getafe","Getafe","3,94","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T19:30:00Z","h2h","1xBet","Sevilla","Getafe","Sevilla","2,22","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T19:30:00Z","h2h","1xBet","Sevilla","Getafe","Draw","3,2","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T19:30:00Z","h2h","William Hill","Sevilla","Getafe","Getafe","3,8","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T19:30:00Z","h2h","William Hill","Sevilla","Getafe","Sevilla","2,15","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T19:30:00Z","h2h","William Hill","Sevilla","Getafe","Draw","2,9","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T19:30:00Z","h2h","Parions Sport (FR)","Sevilla","Getafe","Getafe","3,9","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T19:30:00Z","h2h","Parions Sport (FR)","Sevilla","Getafe","Sevilla","2,05","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T19:30:00Z","h2h","Parions Sport (FR)","Sevilla","Getafe","Draw","3,0","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T19:30:00Z","h2h","Winamax (FR)","Sevilla","Getafe","Getafe","4,0","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T19:30:00Z","h2h","Winamax (FR)","Sevilla","Getafe","Sevilla","2,15","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T19:30:00Z","h2h","Winamax (FR)","Sevilla","Getafe","Draw","3,1","2025-08-25T18:37:44.821297"
"La Liga - Spain","2025-08-25T19:30:00Z","h2h","Winamax (DE)","Sevilla","Getafe","Getafe","3,95","2025-08-25T18:37:44.821297"
